"source.ip","source.domain","event.code","host.ip","@timestamp","agent.name","agent.type","agent.version","host.os.name","host.os.platform","host.os.type","user.id","user.name"
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.585","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.573","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.557","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.545","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.528","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.516","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.503","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.486","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.474","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.455","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.444","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.422","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.411","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.397","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.378","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.360","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.340","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.328","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.311","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
"192.168.1.7","-",4625,"fe80::92f5:e68c:f744:1285, 192.168.1.5","May 13, 2025 @ 17:55:56.300","DESKTOP-76AVLNO",winlogbeat,"9.0.1","Windows 10 Home",windows,windows,"S-1-0-0",Machine1
